Country of developer,Country of developer_label,Country of provider,Country of provider_label,foundation_model_count_by_provider,is_open_source,ref_date,type
ALL,-- All countries --,USA,United States,15,All,202301,All modalities
ALL,-- All countries --,USA,United States,18,All,202302,All modalities
ALL,-- All countries --,USA,United States,21,All,202303,All modalities
ALL,-- All countries --,USA,United States,23,All,202304,All modalities
ALL,-- All countries --,USA,United States,24,All,202305,All modalities
ALL,-- All countries --,USA,United States,21,All,202306,All modalities
ALL,-- All countries --,USA,United States,46,All,202307,All modalities
ALL,-- All countries --,USA,United States,33,All,202308,All modalities
ALL,-- All countries --,USA,United States,33,All,202309,All modalities
ALL,-- All countries --,USA,United States,36,All,202310,All modalities
ALL,-- All countries --,USA,United States,37,All,202311,All modalities
ALL,-- All countries --,USA,United States,44,All,202312,All modalities
ALL,-- All countries --,USA,United States,64,All,202401,All modalities
ALL,-- All countries --,USA,United States,82,All,202402,All modalities
ALL,-- All countries --,USA,United States,94,All,202403,All modalities
ALL,-- All countries --,USA,United States,104,All,202404,All modalities
ALL,-- All countries --,USA,United States,122,All,202405,All modalities
ALL,-- All countries --,USA,United States,172,All,202406,All modalities
ALL,-- All countries --,USA,United States,209,All,202407,All modalities
ALL,-- All countries --,USA,United States,217,All,202408,All modalities
ALL,-- All countries --,USA,United States,254,All,202409,All modalities
ALL,-- All countries --,USA,United States,362,All,202410,All modalities
ALL,-- All countries --,USA,United States,357,All,202411,All modalities
ALL,-- All countries --,USA,United States,362,All,202412,All modalities
ALL,-- All countries --,USA,United States,390,All,202501,All modalities
ALL,-- All countries --,USA,United States,399,All,202502,All modalities
ALL,-- All countries --,USA,United States,407,All,202503,All modalities
ALL,-- All countries --,USA,United States,422,All,202504,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),4,All,202306,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),2,All,202307,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),2,All,202308,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),2,All,202309,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),2,All,202310,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,202311,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,202312,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,202401,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,202402,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,202403,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,202404,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),5,All,202405,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),5,All,202406,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),21,All,202407,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),24,All,202408,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),23,All,202409,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),36,All,202410,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),41,All,202411,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),41,All,202412,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),79,All,202501,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),80,All,202502,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),86,All,202503,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),87,All,202504,All modalities
ALL,-- All countries --,DEU,Germany,3,All,202302,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202303,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202304,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202305,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202306,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202307,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202308,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202309,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202310,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202311,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202312,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202401,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202402,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202403,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202404,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202405,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202406,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202407,All modalities
ALL,-- All countries --,DEU,Germany,7,All,202408,All modalities
ALL,-- All countries --,DEU,Germany,8,All,202409,All modalities
ALL,-- All countries --,DEU,Germany,10,All,202410,All modalities
ALL,-- All countries --,DEU,Germany,10,All,202411,All modalities
ALL,-- All countries --,DEU,Germany,10,All,202412,All modalities
ALL,-- All countries --,DEU,Germany,13,All,202501,All modalities
ALL,-- All countries --,DEU,Germany,13,All,202502,All modalities
ALL,-- All countries --,DEU,Germany,13,All,202503,All modalities
ALL,-- All countries --,DEU,Germany,13,All,202504,All modalities
ALL,-- All countries --,FRA,France,1,All,202306,All modalities
ALL,-- All countries --,FRA,France,1,All,202307,All modalities
ALL,-- All countries --,FRA,France,1,All,202308,All modalities
ALL,-- All countries --,FRA,France,1,All,202309,All modalities
ALL,-- All countries --,FRA,France,1,All,202310,All modalities
ALL,-- All countries --,FRA,France,1,All,202311,All modalities
ALL,-- All countries --,FRA,France,4,All,202312,All modalities
ALL,-- All countries --,FRA,France,4,All,202401,All modalities
ALL,-- All countries --,FRA,France,6,All,202402,All modalities
ALL,-- All countries --,FRA,France,6,All,202403,All modalities
ALL,-- All countries --,FRA,France,6,All,202404,All modalities
ALL,-- All countries --,FRA,France,6,All,202405,All modalities
ALL,-- All countries --,FRA,France,6,All,202406,All modalities
ALL,-- All countries --,FRA,France,10,All,202407,All modalities
ALL,-- All countries --,FRA,France,14,All,202408,All modalities
ALL,-- All countries --,FRA,France,12,All,202409,All modalities
ALL,-- All countries --,FRA,France,12,All,202410,All modalities
ALL,-- All countries --,FRA,France,14,All,202411,All modalities
ALL,-- All countries --,FRA,France,14,All,202412,All modalities
ALL,-- All countries --,FRA,France,16,All,202501,All modalities
ALL,-- All countries --,FRA,France,17,All,202502,All modalities
ALL,-- All countries --,FRA,France,18,All,202503,All modalities
ALL,-- All countries --,FRA,France,18,All,202504,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202301,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202302,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202303,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202304,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202305,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202306,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202307,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202308,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202309,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202310,All modalities
ALL,-- All countries --,GBR,United Kingdom,4,All,202311,All modalities
ALL,-- All countries --,GBR,United Kingdom,4,All,202312,All modalities
ALL,-- All countries --,GBR,United Kingdom,4,All,202401,All modalities
ALL,-- All countries --,GBR,United Kingdom,4,All,202402,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202403,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202404,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202405,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202406,All modalities
ALL,-- All countries --,GBR,United Kingdom,9,All,202407,All modalities
ALL,-- All countries --,GBR,United Kingdom,9,All,202408,All modalities
ALL,-- All countries --,GBR,United Kingdom,9,All,202409,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202410,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202411,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202412,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202501,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202502,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202503,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202504,All modalities
ALL,-- All countries --,NLD,Netherlands,16,All,202411,All modalities
ALL,-- All countries --,NLD,Netherlands,16,All,202412,All modalities
ALL,-- All countries --,NLD,Netherlands,26,All,202501,All modalities
ALL,-- All countries --,NLD,Netherlands,26,All,202502,All modalities
ALL,-- All countries --,NLD,Netherlands,33,All,202503,All modalities
ALL,-- All countries --,NLD,Netherlands,36,All,202504,All modalities
ALL,-- All countries --,CAN,Canada,3,All,202307,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202308,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202309,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202310,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202311,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202312,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202401,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202402,All modalities
ALL,-- All countries --,CAN,Canada,3,All,202403,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202404,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202405,All modalities
ALL,-- All countries --,CAN,Canada,4,All,202406,All modalities
ALL,-- All countries --,CAN,Canada,3,All,202407,All modalities
ALL,-- All countries --,CAN,Canada,3,All,202408,All modalities
ALL,-- All countries --,CAN,Canada,3,All,202409,All modalities
ALL,-- All countries --,CAN,Canada,8,All,202410,All modalities
ALL,-- All countries --,CAN,Canada,9,All,202411,All modalities
ALL,-- All countries --,CAN,Canada,9,All,202412,All modalities
ALL,-- All countries --,CAN,Canada,9,All,202501,All modalities
ALL,-- All countries --,CAN,Canada,9,All,202502,All modalities
ALL,-- All countries --,CAN,Canada,18,All,202503,All modalities
ALL,-- All countries --,CAN,Canada,18,All,202504,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202303,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202304,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202305,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202306,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202307,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202308,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202309,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202310,All modalities
ALL,-- All countries --,ISR,Israel,3,All,202311,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202312,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202401,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202402,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202403,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202404,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202405,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202406,All modalities
ALL,-- All countries --,ISR,Israel,4,All,202407,All modalities
ALL,-- All countries --,ISR,Israel,6,All,202408,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202409,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202410,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202411,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202412,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202501,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202502,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202503,All modalities
ALL,-- All countries --,ISR,Israel,2,All,202504,All modalities
ALL,-- All countries --,KOR,Korea,2,All,202409,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202410,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202411,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202412,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202501,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202502,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202503,All modalities
ALL,-- All countries --,KOR,Korea,3,All,202504,All modalities